================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
100.10.30.1:32937          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB         0.074369113         2.0030
100.10.30.1:39328          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB         1.888351432         2.0031
100.10.30.1:37046          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB         3.891036511         2.0032
100.10.30.1:36480          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB         4.303641862         2.0027
100.10.30.1:42480          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB         4.486765717         2.0018
100.10.30.1:40094          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB         5.893980551         2.0031
100.10.30.1:39189          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB         6.306160897         2.0028
100.10.30.1:41223          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 16 kB         9.596514671         2.0020
100.10.30.1:40507          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB        10.310163691         2.0030
100.10.30.1:33234          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB        14.365924857         2.0021
100.10.30.1:44938          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB        20.319308065         2.0028
100.10.30.1:33002          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB        20.823953280         2.0032
100.10.30.1:46842          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        20.174108562         2.0028
100.10.30.1:33940          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        22.176696975         2.0030
100.10.30.1:45317          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB        22.321980572         2.0030
100.10.30.1:44856          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB        24.930787520         2.0020
100.10.30.1:34200          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        24.179397806         2.0029
100.10.30.1:44050          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB        24.324762818         2.0028
100.10.30.1:46141          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB        26.092817600         2.0028
100.10.30.1:39752          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB        26.327371355         2.0012
100.10.30.1:44589          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 16 kB        26.182086220         2.0017
100.10.30.1:43134          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB        27.436638862         2.0017
100.10.30.1:44682          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        28.095397420         2.0014
100.10.30.1:39984          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        29.310202082         2.0030
100.10.30.1:35134          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB        30.096609378         2.0029
100.10.30.1:39055          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB        31.240655862         2.0029
100.10.30.1:35531          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 16 kB        31.312898995         2.0029
100.10.30.1:42665          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB        31.439781101         2.0030
100.10.30.1:38722          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        32.099122262         2.0019
100.10.30.1:32799          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 16 kB        33.315847570         2.0028
100.10.30.1:35669          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB        33.363860913         2.0029
100.10.30.1:33908          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB        35.245208046         2.0031
100.10.30.1:35009          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB        37.248004893         2.0017
100.10.30.1:45114          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB        39.369329663         2.0030
100.10.30.1:38302          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB        40.055323670         2.0020
100.10.30.1:34333          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB        42.057163168         2.0027
100.10.30.1:38682          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB        43.143059304         2.0015
100.10.30.1:36246          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 12 kB        46.304313623         2.0025
100.10.30.1:36451          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB        46.152681862         2.0027
100.10.30.1:42275          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB        48.082202961         2.0028
100.10.30.1:38430          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB        48.155172109         2.0029
100.10.30.1:35692          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB        49.300210140         2.0032
100.10.30.1:39441          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB        49.832421859         2.0031
100.10.30.1:43246          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB        50.157880849         2.0029
100.10.30.1:40573          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        50.011439576         2.0030
100.10.30.1:39875          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB        50.084824274         2.0029
100.10.30.1:44097          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        50.307855056         2.0025
100.10.30.1:33468          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        51.835202369         2.0022
100.10.30.1:38223          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB        52.160498254         2.0030
100.10.30.1:41589          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB        54.252735102         2.0025
100.10.30.1:46086          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB        54.015058207         2.0016
100.10.30.1:36919          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        58.110316463         2.0021
100.10.30.1:43569          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        62.441283339         2.0029
100.10.30.1:45501          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 16 kB        64.443847905         2.0020
100.10.30.1:43650          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 16 kB        68.355330384         2.0015
100.10.30.1:41004          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        71.003157928         2.0017
100.10.30.1:40512          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB        74.581119272         2.0025
100.10.30.1:36277          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB        74.743034768         2.0029
100.10.30.1:39881          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        76.699233084         2.0031
100.10.30.1:33283          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB        76.745696836         2.0028
100.10.30.1:37181          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB        78.748164667         2.0029
100.10.30.1:43142          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        78.701916191         2.0031
100.10.30.1:42975          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 15 kB        79.718484260         2.0029
100.10.30.1:44721          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        80.750890380         2.0023
100.10.30.1:46508          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 15 kB        83.722862074         2.0030
100.10.30.1:36031          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB        84.235570056         2.0028
100.10.30.1:41715          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB        85.088894754         2.0029
100.10.30.1:40898          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 15 kB        85.725571429         2.0030
100.10.30.1:37742          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB        86.238115670         2.0029
100.10.30.1:44732          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB        87.091518483         2.0030
100.10.30.1:37573          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 15 kB        88.240696631         2.0020
100.10.30.1:40231          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 16 kB        89.296788663         2.0011
100.10.30.1:36235          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB        89.094333256         2.0029
100.10.30.1:33415          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB        91.297156834         2.0029
100.10.30.1:34385          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB        92.708414794         2.0029
100.10.30.1:45225          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB        93.785437526         2.0016
100.10.30.1:38313          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        96.266789714         2.0017
100.10.30.1:39332          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB        96.712387251         2.0029
100.10.30.1:42480          <-> 100.30.0.1:8080                  4 324 bytes      15 16 kB          19 16 kB        98.721590323         2.0029
100.10.30.1:36109          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB        98.268153533         2.0032
100.10.30.1:41178          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB        98.715105401         2.0030
100.10.30.1:45616          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB        99.134279969         2.0029
100.10.30.1:39283          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB        99.754809426         2.0014
100.10.30.1:35469          <-> 100.30.0.1:8080                  4 324 bytes      15 16 kB          19 16 kB       100.724224408         2.0034
100.10.30.1:40223          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 16 kB       100.807424497         2.0030
100.10.30.1:33719          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       101.065084008         2.0028
100.10.30.1:33532          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB       101.899112582         2.0017
100.10.30.1:36698          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       101.136856427         2.0029
100.10.30.1:43263          <-> 100.30.0.1:8080                  4 324 bytes      15 16 kB          19 16 kB       102.273178272         2.0022
100.10.30.1:35281          <-> 100.30.0.1:8080                  4 324 bytes      15 16 kB          19 16 kB       102.727382424         2.0020
100.10.30.1:35177          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       103.067681862         2.0018
100.10.30.1:43199          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       103.900500877         2.0030
100.10.30.1:36764          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       105.069353016         2.0028
